nct_id,year,brief_title,overall_status,study_type,phases,enrollment_count,countries,conditions,interventions,primary_outcomes,blinding,lead_sponsor,is_acu_vertigo,has_acupuncture,has_vertigo,vertigo_subtypes,acu_points,acu_methods,control_types,outcome_measures,outcome_positive,source
NCT04185259,2019,Acupuncture vs Sham Acupuncture or Waitlist Control for Patients With Chronic Planter Fasciitis,UNKNOWN,INTERVENTIONAL,NA,120,China,Plantar Fasciitis,Acupuncture; Sham acupuncture,The proportion of participants with treatment response 4 weeks after randomization: A treatment responder is defined as a participant having a minimum of 50% improvement in the worst pain intensity during the first steps in the morning compared with baseline.,,Guang'anmen Hospital of China Academy of Chinese Medical Sciences,False,True,False,,BL57; BL60; KI3; KI3(taixi),manual_acupuncture,sham_acupuncture; waiting_list,,True,targeted
NCT04043247,2019,Transcutaneous Electrical Acupoint Stimulation for Prevention of Postoperative Nausea and Vomiting,COMPLETED,INTERVENTIONAL,NA,1655,China,Postoperative Nausea and Vomiting,TEAS; TEAS without electrical stimulation,Incidence of PONV within 24 hours: Whether or not nausea or vomiting happens,,First Affiliated Hospital Xi'an Jiaotong University,True,True,True,,HT3; PC6(neiguan); ST36; ST36(zusanli),TEAS; electroacupuncture,usual_care,,True,targeted
NCT03942796,2019,Pregabalin Versus Pulsed Radiofrequency Ablation for Treatment of Chronic Post-thoracotomy Pain,COMPLETED,INTERVENTIONAL,NA,30,Egypt,Chronic Post-thoracotomy Pain,"lyrica, vronogabic (pregabalin); pulsed radiofrequency ablation of the dorsal root ganglion under fluroscopic guidance/ radiofrequency neurolysis/ radiofrequency denervation device name: Neuro Therm TM 1100","Change in the severity of pain: measured by 11 point VAS score from 0 to 10. the patient is asked to report the severity of his pain in which 0 represents no pain and 10 is the maximum pain. VAS below 5 is considered a ""successful"" outcome of the treatment method and VAS score ≥ 5 is considered a ""failure"" outcome. In case of a ""failure"" outcome, patients will be given oral acetaminophen 500 mg every 8 hours and/or oral ibuprofen 400 mg every 8-12 hours and the need for rescue analgesia will be recorded.

is measured by 11 point VAS score from 0 to 10. the patient is asked to report the severity of his pain in which 0 represents no pain and 10 is the maximum pain. VAS below 5 is considered a ""success"" outcome of the treatment method and VAS score ≥ 5 is considered a ""failure"" outcome. In case of a ""failure"" outcome, patients will be given oral acetaminophen 500 mg every 8 hours and/or oral ibuprofen 400 mg every 8-12 hours and the need for rescue analgesia will be recorded.",,Mansoura University,False,True,False,,,manual_acupuncture,,VAS_dizziness,False,targeted
NCT05552820,2022,Electroacupuncture for Mild-to-moderate Dry Eye,COMPLETED,INTERVENTIONAL,NA,168,China,Dry Eye,Verum Electroacupuncture; Sham Electroacupuncture,Change from Baseline in Noninvasive Tear Breakup Time (NIBUT): The interval between a complete blink and the first breakup of tear film (indicated by a break or deformed Placido disc image on the screen) will be recorded. The measurements are carried out 3 times and the average value is considered as NIBUT.,,"Shanghai Institute of Acupuncture, Moxibustion and Meridian",False,True,False,,BL2; BL58; EX-HN5(taiyang); GB20; GB20(fengchi); GB23; GB34; GB37; GV20; GV20(baihui); LI4; LI4(hegu); LR3; LR3(taichong); SP4; SP6; SP6(sanyinjiao); ST1; ST2; ST36; ST36(zusanli); TE23,electroacupuncture,sham_acupuncture,anxiety_depression; quality_of_life,False,targeted
NCT04815668,2021,Acupuncture at the Sphenopalatine Ganglion in the Treatment of Moderate-to-severe Seasonal Allergic Rhinitis,RECRUITING,INTERVENTIONAL,NA,120,China,Seasonal Allergic Rhinitis,Acupuncture group; Placebo acupuncture group; Rescue medication group,"The change from baseline in the average daily Combined Symptoms and Medication Score (CSMS) over weeks 1- 4: The average daily Combined Symptoms and Medication Score (CSMS) is the sum of the daily symptom score (dSS) plus daily medication score (dMS) . The dSS contains a 6-item scale referring to nasal symptoms (4 items) and ocular symptoms (2 items), with each item scored using a Likert scale of 0 to 3. The dSS will be calculated as a mean of all non-missing dSS divided by the number of individual symptoms (range, o to 3). The dMS will again be calculated as an average of daily symptom relief medication score, with a range of 0 to 3.",,Guang'anmen Hospital of China Academy of Chinese Medical Sciences,False,True,False,,ST7,manual_acupuncture,sham_acupuncture,quality_of_life,True,targeted
NCT07389824,2026,Efficacy of Acupuncture-Mesalazine Combination Therapy in Ulcerative Colitis.,NOT_YET_RECRUITING,INTERVENTIONAL,NA,80,China,Ulcerative Colitis,Acupuncture; Sham acupuncture; Mesalazine,"Clinical remission rate: Proportion of patients who achieve a Mayo Stool Frequency Subscore (SFS) of 0 or 1 and not increased from induction baseline, a Mayo Rectal Bleeding Subscore (RBS) of 0, and a Mayo Endoscopic Score(MES) of 0 or 1 with no friability present on endoscopy.",,Qin Yu,False,True,False,,,manual_acupuncture,sham_acupuncture,,False,targeted
NCT05949307,2023,The Efficacy of Acupuncture and Laser Acupuncture in Treating Chemotherapy or Target Therapy-induced Hand-foot Syndrome,UNKNOWN,INTERVENTIONAL,NA,60,,Hand-Foot Syndrome,acupuncture; laser acupuncture; Sham-laser acupuncture,"The change of Common Terminology Criteria for Adverse Events (CTCAE) version 5. 0: Evaluate skin symptoms assessed by Common Terminology Criteria for Adverse Events version 5. 0 (total three grade. Grade 1 is minimal skin changes, and grade 3 is severe skin changes); The change of scores of Visual analogue scale (VAS): pain evaluation assessed by Visual analogue scale, score from 0 (no pain) to 10 (unbearable pain); The change of Dermatology Life Quality Index (questionnaire): evaluate quality of life assessed by Dermatology Life Quality Index; The change of EORTC QLQ-C30 (questionnaire): evaluate quality of life assessed by EORTC QLQ-C30; The change of LF/HF before and after treatment: testing LF/HF assessed by ANSWatch wrist monitor; The change of temperature of limbs before and after treatment: testing temperature assessed by Thermal Imaging Analysis",,China Medical University Hospital,True,True,True,,,manual_acupuncture,,VAS_dizziness; quality_of_life,True,targeted
NCT06091761,2023,Thread Embedding Acupuncture Combined With Auricular Acupuncture for Overweight and Obesity,COMPLETED,INTERVENTIONAL,NA,66,Vietnam,Overweight or Obesity,Auricular acupuncture; Thread embedding acupuncture; Sham Thread embedding acupuncture,"Changes in body weight: The body weight of the participants will be collected by investigators in the morning after the participants' personal hygiene routine and before breakfast, with measurements in kilograms (kg).",,University of Medicine and Pharmacy at Ho Chi Minh City,False,True,False,,BL20; BL20(pishu); CV12; CV12(zhongwan); CV6; CV6(qihai); CV9; KI14; SP15; ST25; ST28; ST36; ST36(zusanli),auricular,,quality_of_life,True,targeted
NCT06716944,2024,Self-acupuncture for Migraines Feasibility Study,ENROLLING_BY_INVITATION,INTERVENTIONAL,PHASE1; PHASE2,60,United Kingdom,Migraine,Acupuncture,"Headache Impact Test (HIT6): HIT-6 assesses the burden of headaches (including migraine) by assessing the impact of headaches on peoples' daily living, work and social situations. Patients rate six areas of potential impact on a 5-part scale from 'never' to 'always'.",,University of West London,False,True,False,,,manual_acupuncture,usual_care,,True,targeted
NCT06284993,2024,Acupuncture of Different Treatment Frequency in Chronic Plantar Fasciitis,RECRUITING,INTERVENTIONAL,NA,80,China,"Plantar Fasciitis, Chronic",electroacupuncture(more frequent); electroacupuncture(less frequent),"The response rate: Defined as a minimum of 50% improvement in the worst pain intensity during the first morning steps compared with the baseline. This trial will be analyzed using the mean of the worst pain level VAS from the previous three days. Pain intensity will be measured using a 0-100 VAS, with 0 indicating no pain and 100 indicating maximal pain. Participants who must resort to additional treatments other than the permitted rescue medication will be classified as non-responders.",,Guang'anmen Hospital of China Academy of Chinese Medical Sciences,False,True,False,,BL57; BL60; KI3,dry_needling; electroacupuncture; manual_acupuncture,,VAS_dizziness; quality_of_life,True,targeted
NCT04415203,2020,"TAES for FPVCs: a Pragmatic, Randomized Controlled Trial",RECRUITING,INTERVENTIONAL,NA,90,China,Premature Ventricular Complexes,Transcutaneous Auricular Vagus Nerve Stimulation (TAVNS); Sham Transcutaneous Auricular Vagus Nerve Stimulation (Sham-TAVNS),"the proportion of participants with a 50% decrease of PVCs from baseline: The PVCs will be assessed by a 24-hour Holter monitoring. The investigators will calculate the decrease of PVCs between baseline and week 6 (at the end of the treatment), then we will obtain the proportion of patients with a 50% decrease.",,Guang'anmen Hospital of China Academy of Chinese Medical Sciences,False,True,False,,,auricular,usual_care,,False,targeted
NCT07240623,2025,Comparison of Manual Acupuncture at Distal Acupoints Versus Electroacupuncture at Local Acupoints in Patients With Acute Neck Pain Due to Cervical Spondylosis,COMPLETED,INTERVENTIONAL,NA,124,Vietnam,Cervical Spondylosis; Acute Neck Pain; Neck Pain Musculoskeletal; Degenerative Cervical Spine,Manual acupuncture at distal acupoints; Electroacupuncture at local acupoints,"Change in pain intensity (VAS score): Pain intensity is assessed using a 100 mm Visual Analogue Scale (VAS), where ≤4 indicates no pain and 100 indicates the worst imaginable pain. The change in VAS score from baseline to each treatment day is recorded for comparison between groups.; Change in cervical range of motion (ROM) limitation score: The cervical range of motion (ROM) was measured for six movements: flexion, extension, right and left lateral flexion, and right and left rotation. Each movement was assessed using a goniometer, and the measured angles were converted into a limitation score ranging from 0 to 4 according to the following grading system:

* 0 - Normal ROM (flexion 45°-55°, extension 60°-70°, lateral flexion 40°-50°, rotation 60°-70°)
* 1 - Mild limitation (flexion 40°-44°, extension 55°-59°, lateral flexion 35°-39°, rotation 55°-59°)
* 2 - Moderate limitation (flexion 35°-39°, extension 50°-54°, lateral flexion 30°-34°, rotation 50°-54°)
* 3 - Severe limitation (flexion 30°-34°, extension 45°-49°, lateral flexion 25°-29°, rotation 45°-49°)
* 4 - Very severe limitation (\<30° flexion, \<45° extension, \<25° lateral flexion, \<45° rotation) The total limitation score was calculated as the sum of all six movement scores, with higher scores indicating greater cervical movement restriction.",,School of Medicine - Vietnam National University at Ho Chi Minh city,False,True,False,,BL60; BL62; GB20; GB21; GB40; LU7; SI15; SI3; SI5; TE4,electroacupuncture; manual_acupuncture,,VAS_dizziness,True,targeted
NCT02104466,2014,Group Acupuncture Treatment Effects for Painful Diabetic Neuropathy (GATE-PDN),COMPLETED,INTERVENTIONAL,NA,40,United States,Diabetic Peripheral Neuropathy,Acupuncture,Percentage of recruited participants retained for the 12-week intervention period: ; Change from baseline in average weekly pain on the 11-point Pain Intensity Numerical Rating Scale (PI-NRS) at week 12: ,,"University of California, San Francisco",True,True,True,,,manual_acupuncture,usual_care,quality_of_life,True,targeted
NCT02597530,2015,Different Stimuli of Transcutaneous Electric Acupoint Stimulation(TEAS) on Acupuncture Anesthesia,UNKNOWN,INTERVENTIONAL,NA,60,,Acupuncture,TEAS,Consumption of remifentanil during the operation（ug/kg/min）.: ,,wangqiang,False,True,False,,LI4; PC6; ST36,TEAS; electroacupuncture,,,False,targeted
NCT07151404,2025,Efficacy of Acupuncture at Lieque (LU7) for Neck Pain in Cervical Spondylosis,NOT_YET_RECRUITING,INTERVENTIONAL,NA,130,Vietnam,Cervical Spondylosis; Neck Pain,Acupuncture at LU7 (Lieque) + Electroacupuncture; Electroacupuncture Only,"Change in Neck Pain Intensity (VAS Score): Pain intensity in the neck region will be assessed using a 100-mm Visual Analogue Scale (VAS), where 0 mm = no pain and 100 mm = worst possible pain.",,Nguyen Ngoc Doan Thuy,False,True,False,,BL10; BL11; GB20; GB20(fengchi); GB21; LU7,electroacupuncture; manual_acupuncture,,VAS_dizziness,True,targeted
NCT01896063,2013,Sedative and Hypnotic Effects Induced by EA,COMPLETED,INTERVENTIONAL,PHASE1,45,China,Bypass Complications,Electroacupuncture,BIS value: The primary outcome is assessing whether BIS value reduce during electroacupuncture stimulation.,,Xijing Hospital,True,True,True,,,electroacupuncture,,quality_of_life,True,targeted
NCT06703671,2024,Electroacupuncture Treatment for Discogenic Low Back Pain,RECRUITING,INTERVENTIONAL,NA,240,China,Discogenic Low Back Pain,electroacupuncture group; sham-acupuncture group,"Visual Analogue Scale: Visual Analogue Scale is one of the most commonly used single-dimension measurement and evaluation tools for pain intensity. The scale is mainly composed of a 100mm straight line, one end of which means ""completely painless"" and the other end means ""the most severe pain imaginable"" or ""pain to the extreme."" The patient will be asked to place a mark (with a dot) on the line to represent the intensity of the pain they are experiencing at the time.A higher score means a worse result.",,Beijing Hospital,True,True,True,,BL23(shenshu),electroacupuncture; manual_acupuncture; moxibustion,sham_acupuncture,VAS_dizziness; quality_of_life,False,targeted
NCT06165575,2023,The Effect of Press Needle in the Combination of Ear and Body Acupuncture Points on Visual Analog Scale in Post-Operative Patients of Open Spine Surgery,UNKNOWN,INTERVENTIONAL,NA,54,Indonesia,"Post-operative Pain; Spine, Open",Press needle; Sham press needle,"Visual Analog Scale: The visual analog scale is measured using a visual ruler with a line scale of 10 cm, where patients are asked to draw a line on the ruler according to the pain they are experiencing. Pain scale measurements are taken at 24 hours post-operation and 72 hours post-operation, where a lower scale indicates better progress, which indicates less pain",,Indonesia University,False,True,False,,LI4; LI4(hegu); LR3; LR3(taichong),auricular; manual_acupuncture,,VAS_dizziness; anxiety_depression,True,targeted
NCT07145242,2025,"Short-Term Effects of Acupuncture on Balance, and Quality of Life in Women With Migraine: A Pilot Study",COMPLETED,INTERVENTIONAL,NA,12,Lithuania,Migraine,Acupuncture,"Change in migraine pain intensity measured by Visual Analogue Scale (VAS): Migraine pain intensity will be assessed using a 10 cm Visual Analogue Scale (VAS), where 0 indicates ""no pain"" and 10 indicates ""worst imaginable pain."" The primary outcome is the change in mean VAS score from baseline to 2 weeks post-intervention.",,Laura Zaliene,False,True,False,,EX-HN3(yintang); GB14; GB20; GB7; GV20; LI4; LR3,manual_acupuncture,,VAS_dizziness; quality_of_life,False,targeted
NCT06931054,2025,"Combination of Acupuncture, Auricular Acupressure and Nicotine Replacement Therapy for Smoking Cessation",RECRUITING,INTERVENTIONAL,NA,270,Hong Kong,Smoking,Acupuncture; Nicotine Replacement therapy; Smoking cessation counseling; Auricular acupressure; Sham acupressure; Sham acupuncture,"Biochemical validated tobacco abstinence at 26-week follow-up: Biochemically verified quitting is defined as a carbon monoxide (CO) level in exhaled breath measured by a CO monitor of less than or equal to 3 ppm, and a salivary cotinine level of less than or equal to 30 ng/ml, as tested by a cotinine test strip.",,The University of Hong Kong,True,True,True,,EX-HN3(yintang); GV20(baihui); LR3(taichong); PC6(neiguan); SP6(sanyinjiao); ST36(zusanli),acupressure; manual_acupuncture,sham_acupuncture,,True,targeted
NCT06718231,2024,TAES Alleviate Post-VATS Depression,NOT_YET_RECRUITING,INTERVENTIONAL,NA,120,China,Depression After Video-assisted Thoracoscopic Surgery,Transcutaneous electrical acupoint stimulation; Sham-TAES,"Beck Depression Inventory score 30 days postoperatively: The self-rating Scale for Depression consists of 21 groups of questions, each group has 4 statements, and each sentence corresponds to an Arabic numeral.Participants choose the statement that best suits their situation according to their own feeling.After all 21 groups have been completed, the total score of each group is added",,Fuling Central Hospital of Chongqing City,False,True,False,,LI4(hegu); PC6(neiguan),TEAS,,anxiety_depression; quality_of_life,False,targeted
